Month,Year,net_profit_foreign,no_tourist_foreign,no_tourist_occupied
1,2019,162995.49,7907122,16395855
2,2019,143852.79,7189186,14854979
3,2019,146074.63,7139471,14792744
4,2019,137531.58,6947580,14829087
5,2019,120610.3,6078770,13668195
6,2019,116866.66,5881298,12882702
7,2019,110863.7,5894511,12809604
8,2019,111607.48,5912947,12462455
9,2019,104817.1,5584077,12104534
10,2019,148678.88,5792321,14035735
11,2019,149254.83,5887634,14263725
12,2019,192991.31,7178113,16014296
1,2020,176345.04,7976164,15523433
2,2020,83493.29,3882794,11077750
3,2020,18455.76,936781,4673920
4,2020,9515.85,173887,304122
5,2020,8610.79,163830,643959
6,2020,2538.1,113890,2391103
7,2020,1773.26,85205,5331172
8,2020,1380.45,81361,5602390
9,2020,1223.72,86134,5699121
10,2020,1952.06,91793,6965118
11,2020,2664.29,127984,8187917
12,2020,2113.51,95468,7528648
1,2021,1193.86,59945,2636436
2,2021,1272.63,63887,3829552
3,2021,1451.48,76544,4708230
4,2021,1310.32,70339,2948665
5,2021,470.55,37391,898459
6,2021,388.03,32435,860156
7,2021,1245.18,43175,578736
8,2021,1199.23,42476,580868
9,2021,1861.45,59095,1294652
10,2021,2395.04,100527,2469509
11,2021,3801.81,185736,5219873
12,2021,8384.71,382739,7864664
1,2022,9535.04,457838,7513283
2,2022,9363.55,455709,7355768
3,2022,11745.77,554117,7467231
4,2022,13506.89,641217,7871437
5,2022,22317.09,1041793,7767144
6,2022,31400.46,1414232,7822496
7,2022,45168.92,2030130,8500899
8,2022,47790.66,2244812,8567877
9,2022,47517.14,2279065,8783314
10,2022,52743.29,2758803,9413489
11,2022,70128.14,3637924,10620831
12,2022,81804.13,4353607,12044518
1,2023,93496.57,4978609,12399203
2,2023,101191.1,5399116,11810428
